lat,lon,AttackID,Vessel,Status,Location,Narration,Date
1.1666666,103.933334,162-19,Tug,Attempted,Singapore Straits.,Five to seven persons in a wooden boat approached and attempted to board a tug underway. Duty watchman noticed the boat and raised the alarm resulting in the persons aborting and moving away.,2019-12-03 02:10:00+07:00
3.9666667,9.083333,161-19,Product Tanker,Boarded,"Limboh Anchorage, Cameroon.",Around six persons armed with guns boarded an anchored tanker. A distress message was sent by the tanker. The persons stole ship,2019-12-30 23:30:00+01:00
1.27,104.223335,160-19,Bulk Carrier,Boarded,Singapore Straits.,"Chief Engineer onboard a bulk carrier underway noticed four robbers armed with knives in the engine room and informed Master. Alarm raised, deck lights switched on and crew mustered. Seeing the alerted crew the robbers escaped. A search was carried out. Foot prints were noticed on the quarter deck. Nothing reported stolen.",2019-11-28 22:20:00+07:00
36.763992,3.0631905,159-19,LPG Tanker,Attempted,Algeria.,Duty crew onboard a berthed tanker noticed three unauthorised persons attempting to board via the forward mooring ropes. Alarm raised resulting in the persons escaping. Incident reported to PFSO. A search was carried out. Nothing reported stolen.,2019-12-13 05:30:00+01:00
1.15,103.48333,158-19,Product Tanker,Boarded,Singapore Straits.,"Five robbers boarded a product tanker underway. Second Engineer noticed and shouted at the robbers. Alarm raised, crew mustered, and incident reported to Singapore VTS. Seeing the crew alertness, the robbers escaped without stealing anything. The tanker anchored at Sudong Special anchorage where a Singapore coast guard personnel boarded the tanker for inspection. All crew safe.",2019-12-24 23:20:00+07:00
1.2658334,104.11694,157-19,Bulk Carrier,Boarded,Singapore Straits.,"Five persons armed with knives and guns boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew, threatened them and tied them up. The robbers stole engine spares and escaped. Incident reported to Singapore VTIS. A coast guard boat responded and escorted the vessel.",2019-12-23 00:20:00+07:00
6.251111,3.2166667,156-19,Product Tanker,Boarded,"Lagos Secure Anchorage Area, Nigeria.","Duty crew on board an anchored product tanker noticed two unauthorized persons onboard and raised the alarm. Crew mustered. Naval patrol boat notified via VHF, which responded and searched the waters around the tanker. A search was carried out. Nothing reported stolen.",2019-12-21 01:25:00+01:00
17.6025,83.35,155-19,Bulk Carrier,Attempted,"Visakhapatnam Anchorage, India.","Around 15 to 18 persons in three skiffs approached an anchored bulk carrier. They attempted to board the ship using a rope attached to a hook. Alert crew noticed the attempted boarding and notified the port control and Coast Guard. A patrol vessel was dispatched resulting in the robbers aborting the attempted boarding and escaped. After chasing the boats for a while, the  patrol boat managed to stop one skiff and arrested the persons onboard.",2019-12-01 06:05:00+05:30
1.25,104.083336,154-19,Crude Oil Tanker,Boarded,Singapore Straits.,"While underway, a tanker was boarded by five robbers armed with knives. Two duty crew on routine rounds were confronted by the robbers, who threatened them and tied them up. Alarm raised and crew mustered. Hearing the alarm, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",2019-12-22 23:00:00+07:00
1.25,104.01667,153-19,Bulk Carrier,Boarded,Singapore Straits.,"Five robbers armed with long knives boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew and threatened them with knives. The robbers stole engine spares and escaped. Alarm raised, crew mustered, and incident reported to Singapore VTIS. A coast guard boat responded and escorted the ship to an anchorage, where they boarded the ship for inspection. All crew safe.",2019-12-20 22:30:00+07:00
0.31805557,9.385278,152-19,Bulk Carrier,Attempted,"Owendo Anchorage, Gabon.","Around six armed persons in a skiff came alongside an anchored bulk carrier and attempted to hook on a ladder to board the vessel. The persons threatened the crew with their weapons. Alarm raised and port authorities notified. Seeing the alerted crew, the armed persons aborted the attempted boarding. Vessel and crew are safe.",2019-12-21 23:30:00+01:00
-5.5008335,105.28472,151-19,Bulk Carrier,Boarded,"Panjang Anchorage, Indonesia.","Three robbers armed with long knives boarded an anchored bulk carrier. They broke into the engine room work shop, stole auxiliary engine spares and escaped. Authorities notified.",2019-12-11 03:25:00+07:00
-4.7655554,11.783334,150-19,Offshore Tug,Boarded,"Pointe Noire Anchorage, The Congo.","Two robbers in a canoe came alongside an anchored offshore tug. They boarded the vessel, stole ship",2019-12-17 03:30:00+01:00
4.385,2.0541666,149-19,Product Tanker,Boarded,"Around 118nm SSW of Cotonou, Benin.","Around six heavily armed pirates boarded a product tanker underway. They took hostage all crew members and destroyed some equipment resulting in the tanker going into a blackout condition. The remaining crew sent a distress and requested to be towed to a safe area. Upon receiving the information, the IMB Piracy Reporting Centre immediately notified and liaised with the Regional Authorities to provide assistance to the tanker. A Togo Navy ship was dispatched to the location of the tanker and made arrangements to tow the tanker. Twenty crew were reported missing.",2019-12-15 08:00:00+00:00
-12.036111,-77.217224,148-19,Bulk Carrier,Boarded,Peru.,"Crew on routine rounds onboard an anchored bulk carrier noticed three robbers armed with long knives at forecastle deck and raised the alarm. Crew mustered. A small boat was seen departing the vessel.  Upon checking, the bosun store and paint store were reported broken into and ship",
-12.01885,-77.21881,147-19,Bulk Carrier,Boarded,"Callao Anchorage, Peru.","Three robbers boarded an anchored bulk carrier via the anchor chain and hawse pipe. They tied up the duty OS, took his radio, watch and flashlight and entered the forecastle store. The duty OS managed to escape and raised the alarm resulting in the crew mustering. Hearing the alarm, the robbers escaped in a waiting motorboat. Upon investigation, ship",2019-12-07 01:10:00-05:00
3.1,7.116667,146-19,Crude Oil Tanker,Boarded,"Around 76nm South of Bonny, Nigeria.",Armed pirates attack and boarded an oil tanker underway. Nineteen crew were identified as missing. The vessel Owners notified the Nigerian Navy and MRCC for assistance. Remaining crew sailed the tanker to a safe area.,2019-12-03 18:10:00+00:00
1.3052778,104.34639,143-19,Bulk Carrier,Boarded,Singapore Straits.,"While underway, a duty engine crew onboard a bulk carrier was confronted by robbers armed with knives. The robbers threatened the crew with a knife and attempted to take him hostage. The crew managed to escape and raised the alarm resulting in the crew mustering. Seeing the alerted crew, the robbers escaped without stealing anything. Master reported the incident to VTIS. A patrol boat was dispatched to the location. Vessel and crew are safe.",2019-11-28 04:45:00+08:00
-12.018888,-77.18528,142-19,Vehicle Carrier,Boarded,"Callao Anchorage, Peru.",Duty crew onboard an anchored vehicle carrier noticed the forecastle store entrance door and forward booby hatch cover opened. On investigating three mooring ropes were reported missing. Incident reported to Callao Port Authority.,2019-11-23 05:20:00-05:00
-14.383295,40.75356,141-19,Bulk Carrier,Boarded,"Nacala Outer Anchorage, Mozambique.",Duty crew onboard an anchored bulk carrier noticed an unauthorised person on the forecastle deck and raised the alarm. Crew mustered and a search carried out. Seeing the alerted crew the person escaped. Nothing reported stolen. All crew safe. Incident reported to Port Control.,2019-11-19 23:55:00+02:00
1.0833334,103.7,140-19,Crude Oil Tanker,Boarded,Singapore Straits.,"Five robbers armed with knives and crowbars boarded a tanker underway and entered the engine room. Duty Engine crew noticed the robbers and raised the alarm, resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS.",2019-10-18 22:07:00+07:00
4.549046,7.197075,139-19,Passenger Boat,Boarded,Nigeria.,Ten armed persons attacked a passenger boat and kidnapped four Immigration Officers. The Nigerian Navy rescued the kidnapped Immigration Officers on 13 November. No casualties reported.,2019-11-11 08:30:00+01:00
6.2483335,2.5483334,138-19,Bulk Carrier,Boarded,"Around 9nm SE of Cotonou, Benin.",Armed persons boarded an anchored bulk carrier. Incident reported to the Authorities who dispatched a patrol boat to the ship,2019-11-02 04:20:00+01:00
1.2016667,103.5675,137-19,Product Tanker,Attempted,Singapore Straits.,Six persons in two speed boats approached a tanker underway. Duty crew noticed the persons attempting to board the tanker and raised the alarm. Master increased the speed and took evasive manoeuvres resulting in the persons aborting the boarding attempt.,2019-11-05 19:48:00+08:00
30.426043,-9.647907,136-19,Bulk Carrier,Boarded,"Silos Terminal, Agadir Port, Morocco.","Duty officer onboard a berthed bulk carrier noticed four unauthorized persons onboard the vessel. Alarm raised and crew mustered. Seeing the alerted crew, the persons escaped.  On searching the vessel nothing reported stolen.",2019-11-08 03:05:00+01:00
1.2183334,6.1516666,135-19,Crude Oil Tanker,Fired Upon,"Around 57nm NNW of Sao Tome Island, Sao Tome and Principe.","Armed persons in a skiff approached and fired upon a tanker underway. Alarm raised, vessel increased speed and commenced evasive manoeuvers. Fire pump activated, and four parachute rockets discharged. Due to the actions of the Master and crew, the skiff aborted and moved away. Vessel and crew safe.",2019-11-07 00:15:00+00:00
5.9666667,1.25,134-19,Product Tanker,Boarded,"Around 9nm SSE of Lome, Togo.",Three persons armed with guns and knives boarded an anchored tanker and shot one armed guard in his leg. They entered into the accommodation and tried to force their way into the captain,2019-11-04 02:40:00+00:00
3.7880588,98.69406,133-19,Product Tanker,Attempted,"Belawan Port, Indonesia.","During security rounds, crew onboard a berthed tanker noticed one unknown person trying to board the vessel using a grappling hook. Upon being noticed, the person escaped. Incident reported to Port Authority.",2019-11-08 02:00:00+07:00
1.7166667,101.434166,132-19,Product Tanker,Boarded,"Dumai Inner Anchorage, Indonesia.","Duty officer onboard an anchored tanker noticed four robbers on deck and informed Master. Alarm raised, crew mustered, and PA announcement made. The robbers escaped without stealing anything and a search carried out. Incident reported to local agent.",2019-10-09 02:20:00+07:00
3.9166667,98.8,131-12,Product Tanker,Attempted,"Belawan Anchorage, Indonesia.","Duty crew onboard an anchored tanker noticed a person attempting to board via the anchor chain, while two other persons were waiting in the boat alongside the tanker. The duty crew reported the incident to the OOW who raised the alarm. Seeing the alerted crew, the persons escaped in their boat.",2019-10-15 05:00:00+07:00
1.05,103.63333,130-19,Product Tanker,Boarded,Singapore Straits.,"Alert crew onboard a tanker underway noticed four robbers on deck and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",2019-10-25 04:15:00+07:00
-4.7530556,11.779445,129-19,Container,Boarded,"Pointe Noire South Anchorage, The Congo.","Duty officer on routine rounds, onboard an anchored container vessel noticed a mooring rope in the water and notified the bridge. Alarm raised and crew mustered. Investigations showed the forward storeroom door was opened, and ship",2019-10-20 04:20:00+01:00
-6.017537,105.935745,128-19,Bulk Carrier,Boarded,"Cigading Anchorage, Indonesia.",Alert crew onboard an anchored bulk carrier noticed four unauthorized persons near the entrance of the engine room. Alarm raised and crew mustered. Hearing the alerted crew the persons escaped without stealing anything.,2019-10-22 00:47:00+07:00
6.456952,3.3720195,127-19,Product Tanker,Boarded,"Lagos, Nigeria.","During cargo operations, around seven to eight armed persons in two wooden boats came alongside and boarded a berthed tanker. Alert crew noticed the persons, raised the alarm and stopped the discharging operations. Before escaping, the persons fired towards the crew. No injuries reported. Cargo from the terminal",2019-10-06 23:30:00+01:00
4.3519444,6.866667,126-19,Fishing Vessel,Boarded,Nigeria.,"A fishing vessel, having machinery problems drifted to the mouth of Sambreiro river where it was attacked by several persons. The persons vandaliZed the vessel and escaped. The vessel owners notified the Nigerian Navy who were able to located and inspect the vessel.",2019-10-05 13:00:00+01:00
1.0575,103.645,125-19,Bulk Carrier,Boarded,Singapore Straits.,Duty oiler on routine rounds onboard a bulk carrier underway was taken hostage by five robbers armed with a gun and knives. The robbers threatened the oiler and tied his hands. They then stole ships spares and escaped. The oiler reported the incident to the OOW who raised the alarm and notified Singapore VTIS.,2019-10-20 00:00:00+07:00
-11.985,-77.18361,124-19,Product Tanker,Boarded,"Callao Anchorage, Peru.","Duty watchmen onboard an anchored tanker noticed three unauthorised persons on the forecastle deck and raised the alarm. The OOW, sounded the forward horn, raised the alarm, made and announcement on the PA and crew mustered. Seeing the alerted crew the persons escaped in their boat. Further investigations indicated that the perpetrators opened the bosun store skylight but were unable to steal anything.",2019-10-12 02:30:00-05:00
18.5525,-72.38333,123-19,Bulk Carrier,Boarded,"Port Au Prince Anchorage, Haiti.","During routine rounds, duty AB onboard an anchored ship was taken hostage by robbers armed with guns and long knives. Alarm raised and crew mustered. Seeing the alerted crew the robbers escaped with stolen ship",2019-10-11 20:10:00-04:00
-4.837018,11.865234,122-19,Research Vessel,Boarded,"Pointe Noire Anchorage, The Congo.",Master onboard the anchored research vessel heard a sound near the forward and noticed one unknown person onboard. Master shouted and the person escaped. Emergency alarm raised and crew mustered. A boat was seen departing the vessel with stolen ship,2019-10-08 23:40:00+01:00
1.3,104.11667,121-19,LPG Tanker,Boarded,"Johor Anchorage, Malaysia.","Unnoticed, robbers boarded an anchored tanker, stole ship",2019-10-06 07:59:00+08:00
6.283889,3.218889,120-19,Product Tanker,Boarded,"Lagos Secure Anchorage Area, Nigeria.","Duty security patrol onboard an anchored product tanker noticed three robbers on the forecastle and immediately informed the OOW, who raised the alarm. Upon hearing the alarm, the robbers escaped without stealing anything. Incident reported to Nigerian Navy and a patrol boat arrived for investigation.",2019-10-05 03:00:00+01:00
-12.030556,-77.18584,119-19,Bulk Carrier,Boarded,Peru.,"Robbers boarded an anchored bulk carrier. They took hostage the duty AB and tied his hands. When the duty officer did not receive a response from the duty AB he order other crew to investigate. Upon arriving at the forecastle, the crew saw the duty AB, who raised the alarm. hearing the alerted crew the robbers escaped. The duty AB was unharmed. Two mooring ropes were reported missing. Incident reported to the port authority and local agent.",2019-09-30 01:55:00-05:00
1.0352777,103.65,118-19,Bulk Carrier,Boarded,Singapore Straits.,"Deck crew on routine rounds onboard a bulk carrier underway in the Singapore TSS spotted five armed robbers on the aft deck. Alarm raised, SSAS activated and PA announcement made resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS. After almost one hour and in Singapore waters, a Singapore police coast guard boat intercepted and escorted the ship to Singapore, where they boarded and searched the ship to ensure that the robbers had left.",2019-09-30 22:15:00+07:00
-1.1096356,116.734024,117-19,Product Tanker,Boarded,"Balikpapan, Indonesia.",Two robbers boarded a berthed tanker. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping without stealing anything.  Incident reported to local authorities.,2019-09-19 03:00:00+08:00
17.063055,82.436386,116-19,LPG Tanker,Boarded,"Kakinada Anchorage, India.",Four robbers boarded an anchored LPG tanker using a hook attached with rope. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping in their boat with ship,2019-09-24 00:55:00+05:30
1.6,104.53333,115-19,General Cargo,Boarded,"Around 16nm East of Bandar Penawar, Johor, Malaysia.","A Bosun onboard an anchored general cargo ship sighted three robbers on the forecastle and immediately informed the OOW, who raised the alarm. The crew mustered and proceeded towards the forward. Seeing the alerted crew, the robbers escaped with a mooring rope.",2019-09-26 05:06:00+07:00
1.5683334,104.516945,113-19,Crude Oil Tanker,Boarded,"Around 16nm East of Bandar Penawar, Johor, Malaysia.","Unnoticed, robbers boarded an anchored tanker via anchor chain and stole ship",2019-09-26 03:15:00+07:00
13.766666,120.98333,114-19,Chemical Tanker,Attempted,"Mabini Anchorage, Philippines.",Duty crew onboard an anchored tanker noticed a person attempting to open the anchor hawse pipe cover. Alarm raised and crew mustered. Incident reported to local agent.,2019-09-24 01:00:00+08:00
-2.5455556,-80.102776,112-19,Container,Boarded,"Around 4.5nm WNW of Isla Escalante, Ecuador.","Two duty crew onboard a container ship under pilotage failed to respond to routine radio checks from the OOW. Investigations revealed that both the crews had been assaulted and tied up. They reported that seven persons armed with a shotgun had boarded, taken them hostage and stolen their personal effects and radios before escaping. The ship proceeded to Posorja roads where the coast guard and anti",2019-09-21 20:00:00-05:00
5.5666666,119.11667,111-19,Fishing Vessel,Boarded,"Around 6.3nm North of Pulau Tambisan, Sabah, Malaysia.","Seven armed persons in two pump boats, wearing camouflage uniforms and masks, approached two fishing vessels. The persons boarded the fishing vessels, held the crew at gunpoint and took their personal effects, phones and documentation. Before leaving the armed persons kidnapped three crew members from one fishing vessel and headed to Tawi",2019-09-23 11:58:00+08:00
6.2836113,3.233611,110-19,Product Tanker,Boarded,"Lagos Secure Anchorage Area, Nigeria.",Duty watchmen onboard a tanker noticed two robbers near the forward cargo tanks and raised the alarm.  One robber shouted at the watchkeeper and made a threatening gesture. Alarm raised and Nigerian navy patrol boat responded and searched the waters around the tanker. Investigations showed a section of the razor wire was broken and the vapour locks of the forward cargo tanks were opened.,2019-09-23 04:15:00+01:00
9.416667,-13.733334,109-19,Product Tanker,Boarded,"Around 5nm SSW of Conakry, Guinea.","Four robbers armed with a gun and knives boarded an anchored tanker. They took hostage the duty AB, tide his hands and forced him to lead them to the bridge. Once inside the bridge the robbers took hostage the duty officer and forced him to lead them to the Captain, Chief Engineer, third officer and bosun",2019-09-16 02:50:00+00:00
4.1738887,8.927222,108-19,Fishing Vessel,Boarded,"Around 4.5nm SW of Idenao, Cameroon.","Eight persons in a speed boat, boarded a fishing vessel conducting fishing operations. The perpetrators kidnapped two crew members and escaped. Cameroon navy notified and investigations are ongoing.",2019-09-13 23:00:00+01:00
4.0488014,9.686423,107-19,Bulk Carrier,Boarded,"Port of Douala, Cameroon.","Unnoticed, robbers boarded a berthed bulk carrier during cargo operations. During routine rounds in the morning, it was noticed that the store",2019-09-12 08:00:00+01:00
1.5683334,104.515,106-19,LNG Tanker,Boarded,"Around 15nm East of Bandar Penawar, Johor, Malaysia.","Three persons boarded an anchored tanker via the anchor cable. They stole the forward liferaft, ship",2019-09-08 16:08:00+07:00
5.807815,118.08195,105-19,Bulk Carrier,Boarded,"Sabah, Malaysia.","During routines round, duty AB onboard a berthed bulk carrier noticed two robbers on the forecastle and raised the alarm. Seeing alerted crew, the robbers jumped overboard and escaped in a boat alongside the vessel with another robber. Upon investigation, ship",2019-08-27 20:25:00+08:00
18.573814,-72.34664,104-19,Product Tanker,Boarded,"Port Au Prince, Haiti.",Two armed robbers boarded a berthed tanker using a hook attached to a rope. Duty crew noticed the robbers and raised the alarm resulting in the robbers escaping with ship,2019-05-15 03:00:00-04:00
1.5833334,104.53333,103-19,Crude Oil Tanker,Boarded,"Around 17nm ENE of Bandar Penawar, Johor, Malaysia.","Duty crew onboard an anchored tanker noticed armed persons on the forecastle and notified the duty officer. Alarm raised and forward whistle sounded. Master advised all crew to retreat into the accommodation. Hearing the alarm, the armed persons escaped with a life raft and other ship",2019-08-26 03:45:00+07:00
3.8397129,98.73939,102-19,Bulk Carrier,Boarded,"Belawan Anchorage, Indonesia.","Duty crew onboard an anchored bulk carrier noticed a small boat near the anchor chain and told the boat to move away as they were about to heave up the anchor. As the duty crew was about to raise the alarm, two armed robbers who had already boarded the ship, held the duty crew at knife point and tied him up. When the ship was ready to heave up the anchor, the remaining crew proceeded to the forecastle. On seeing these crew members approaching, the robbers snatched the duty crew",2019-08-23 01:30:00+07:00
4.675,7.1551666,101-19,Offshore Supply Ship,Boarded,"Federal Ocean Terminal, Onne Port, Nigeria.",Duty officer onboard a berthed offshore supply ship noticed a robber on the CCTV stealing ship,2019-08-14 02:30:00+01:00
1.1025,103.88416,100-19,Tug,Boarded,"Batam Anchorage, Indonesia.",Five robbers armed with knives boarded an anchored tug. Crew alerted and alarm raised. All crew mustered in a safe location and called the local authorities who responded and boarded the tug for investigations. Deck and engine room spares were reported stolen. All crew safe.,2019-08-21 03:40:00+07:00
3.5875,6.6875,099-19,LPG Tanker,Boarded,"50nm SE of Brass, Nigeria.","Pirates boarded a LPG tanker underway. Alarm sounded and crew mustered in the citadel. Headcount indicated that one crew was missing in the citadel. Owners and Nigerian navy notified and a naval patrol boat was dispatched. After the Nigerian naval team boarded the vessel and confirmed that no pirates found on board, the crew emerged from the citadel. On 12 Dec 2019, the Owners confirmed that one kidnapped crew member was released safely on 05 Oct 2019.",2019-08-17 03:25:00+00:00
10.738055,106.77,098-19,Container,Boarded,"Phuoc Long Mooring Buoy No. 03, Vietnam.","Duty AB on routine rounds onboard a berthed container vessel noticed two robbers armed with knives trying to break into the steering gear room. Duty Officer notified. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped. Nothing reported stolen.",2019-08-12 02:30:00+07:00
3.8666666,9.516666,097-19,General Cargo,Boarded,"Douala Anchorage, Cameroon.","Armed persons boarded a general cargo ship. The Cameroon navy dispatched a patrol boat. When the crew emerged from hiding, it was reported that eight crew members were missing. Investigations are on",2019-08-15 03:30:00+01:00
3.8666666,9.52,096-19,Bulk Carrier,Boarded,"Douala Anchorage, Cameroon.","Armed persons boarded a bulk carrier, stole crew and ship",2019-08-15 02:18:00+01:00
4.1516666,8.368055,095-19,LPG Tanker,Fired Upon,"Around 23nm SSE of Okposo, Nigeria.",A suspicious boat approached and fired upon a tanker underway. Alarm raised and crews mustered in the citadel. Master took evasive actions resulting in the boat abandoning the attack. Vessel and crew are safe.,2019-08-14 11:50:00+01:00
-14.384167,40.7,094-19,Chemical Tanker,Boarded,"Nacala Outer Anchorage, Mozambique.",Two armed robbers boarded an anchored chemical tanker via the hawse pipe and broke into the forecastle store. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping with stolen ship,2019-08-07 21:30:00+02:00
1.1055555,104.16861,093-19,Chemical Tanker,Attempted,"Tanjung Uban Anchorage, Indonesia.","Three robbers in a wooden boat came alongside an anchored chemical tanker. They attempted to board the tanker using hooks attached with ropes. Duty Officer on security rounds on the bridge noticed the robbers and raised the alarm, sounded ship",2019-08-07 03:00:00+07:00
19.036667,-92.007225,092-19,Maintenance Pontoon,Boarded,"Ciudad del Carmen Anchorage, Mexico.",Crew onboard a maintenance pontoon reported ship,2019-08-04 06:00:00-06:00
6.43149,3.336577,091-19,Bulk Carrier,Boarded,"Berth No.TC09, Lagos, Nigeria.",Ten robbers boarded a berthed bulk carrier during cargo operations. They assaulted and took hostage the duty AB on routine rounds. The robbers stole ship,2019-07-25 05:42:00+01:00
-4.0720177,39.653046,090-19,Tanker,Boarded,"Mbaraki Wharf, Mombasa, Kenya.","Duty AB on routine rounds onboard a berthed tanker, noticed a person climbing the mooring rope. Alarm sounded, crew mustered, and port control informed. Before a patrol boat could respond, the person had cut two mooring ropes and escaped.",2019-07-27 00:30:00+03:00
-6.0084724,106.86667,089-19,Chemical Tanker,Boarded,"Around 5nm North of Tanjung Priok, Jakarta, Indonesia.","Six robbers armed with knives boarded a chemical tanker waiting for pilot. They injured the Chief Engineer on routine rounds. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to the VTS.",2019-07-31 05:20:00+07:00
3.8785293,98.77254,088-19,Bulk Carrier,Boarded,"Belawan Anchorage, Indonesia.","Two robbers boarded an anchored bulk carrier. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to the Port Control.",2019-07-31 06:20:00+07:00
6.431989,3.3541775,087-19,Container,Boarded,"Port of Lagos, Nigeria.","Three robbers armed with metal sticks in a small boat approached and boarded a berthed container ship. They attacked the duty AB on routine rounds, stole his personal belongings and escaped. Alarm raised and a search was carried out. The duty AB was slightly injured during the incident and further medical checkup was initiated. The incident was reported to the PFSO and Harbour Master.",2019-07-29 04:10:00+01:00
6.319763,-10.833645,086-19,Bulk Carrier,Boarded,"Monrovia Roads, Liberia.",Duty AB noticed an unauthorized person on the deck and raised the alarm. Seeing the alerted crew the person cut the self,2019-07-29 03:30:00+00:00
1.757451,101.36746,085-19,Product Tanker,Boarded,"SDS Terminal, St 1, Lubuk Gaung, Indonesia.","Four armed robbers boarded a berthed tanker during cargo operations. Alert crew noticed the robbers near the engine room and raised the alarm. Upon hearing the alarm and seeing the crew alertness, the robbers escaped through the steering gear room. A search was carried out. It was reported that engine spares were stolen. Incident reported to the PFSO.",2019-07-28 02:55:00+07:00
1.0682542,103.90352,084-19,Offshore Tug,Boarded,"PT Dharma Sentosa Marindo Yard, Batam, Indonesia.",Four robbers in a boat approached and boarded a berthed offshore tug. Second mate on routine rounds noticed footprints on the main deck. Further checks revealed a storeroom padlock broken. Alarm raised and crew mustered. Vessel,2019-07-23 06:00:00+07:00
