mmsi,imo,ship_id,longitude,latitude,speed,heading,status,course,timestamp,dsrc,utc_seconds
351862000,9839260,5935289,54.8504,16.53687,144,60,0,60,2021-01-29 07:10:44,TER,42
677056600,8602361,754796,54.97797,16.85512,78,245,0,244,2021-01-29 06:54:40,TER,38
419956863,0,6146643,54.43842,16.8854,80,511,0,91,2021-01-29 07:10:54,TER,53
412439764,0,5021030,54.67827,16.99268,0,511,0,359,2021-01-29 07:10:28,TER,26
412439766,0,4599976,54.67842,16.99366,1,16,99,16,2021-01-29 07:11:01,TER,60
622139002,9309136,748526,37.74217,19.56617,108,215,0,214,2021-01-29 06:22:19,TER,47
636017648,9385142,144700,37.64172,19.71989,12,289,0,172,2021-01-29 07:10:38,TER,37
566879000,9597484,733314,38.96727,21.33588,10,258,0,217,2021-01-29 07:10:14,TER,13
431080000,9741372,3792033,38.99976,21.37889,156,195,0,194,2021-01-29 07:11:27,TER,59
356162000,9241918,3153,39.07055,21.4078,1,192,1,25,2021-01-29 06:54:33,TER,32
311007500,9400980,372326,39.0833,21.40945,0,229,1,145,2021-01-29 07:10:23,TER,22
403243770,9033919,3290342,39.08886,21.42272,0,239,1,0,2021-01-29 07:09:10,TER,9
403138000,9186728,135836,39.09252,21.42944,1,511,1,0,2021-01-29 07:09:46,TER,45
408435000,9619581,477049,39.15168,21.44097,0,511,5,198,2021-01-29 07:04:30,TER,27
403062000,9185578,475113,39.12118,21.44183,1,224,1,252,2021-01-29 06:38:19,TER,18
403292050,9695573,3698621,39.15953,21.44287,0,350,8,8,2021-01-29 07:09:36,TER,36
377209000,9572018,468764,39.1594,21.4432,0,353,5,262,2021-01-29 07:10:39,TER,37
403070000,9325958,388453,39.08658,21.44371,90,55,0,53,2021-01-29 07:11:06,TER,6
403100100,0,5237578,39.16862,21.44452,0,511,0,199,2021-01-29 07:08:41,TER,39
403058000,9136797,475109,39.12359,21.44661,1,245,0,185,2021-01-29 06:46:08,TER,18
677031200,7602314,764283,39.15761,21.448,0,511,0,0,2021-01-29 07:10:38,TER,37
403272540,9371397,475234,39.15874,21.44882,0,511,5,0,2021-01-29 07:11:24,TER,46
403234640,9009944,475111,39.1272,21.45022,0,260,1,334,2021-01-29 07:10:53,TER,52
477314700,9684689,992335,39.15864,21.45077,2,349,0,48,2021-01-29 07:08:15,TER,53
371463000,9550199,460778,39.16298,21.45187,0,169,0,183,2021-01-29 07:10:09,TER,9
636092661,9151864,204328,39.1583,21.4532,0,349,0,189,2021-01-29 07:09:40,TER,39
403215980,9106338,475384,39.16271,21.45397,3,511,0,38,2021-01-29 07:10:14,TER,13
636092572,9401673,758967,39.08945,21.45543,4,253,1,165,2021-01-29 07:10:17,TER,16
403123000,9127863,400481,39.07025,21.45566,1,511,1,293,2021-01-29 07:07:54,TER,54
620449000,7104441,475066,39.08209,21.45629,3,511,1,183,2021-01-29 07:08:38,TER,38
636092101,9179828,758530,39.15753,21.45752,0,350,5,80,2021-01-29 07:05:29,TER,27
356219000,9713894,2906461,39.16646,21.45858,0,349,5,306,2021-01-29 07:08:56,TER,56
255806209,9357808,287880,39.15723,21.45983,0,351,5,209,2021-01-29 07:11:08,TER,7
403030000,8306723,475083,39.08565,21.46097,3,278,1,191,2021-01-29 07:10:12,TER,11
373188000,9590084,464485,39.16581,21.4612,0,348,5,165,2021-01-29 07:10:01,TER,59
403249070,0,5480077,39.15447,21.46333,73,109,99,109,2021-01-29 06:50:00,TER,60
403001000,8311895,747734,39.14099,21.46536,75,93,0,92,2021-01-29 07:10:55,TER,53
247314200,9578969,281476,39.16348,21.46652,0,285,5,285,2021-01-29 07:10:49,TER,47
311595000,9277802,375150,39.15893,21.46777,0,284,5,299,2021-01-29 07:10:16,TER,15
403232670,0,5317191,39.15246,21.46779,115,53,3,52,2021-01-29 07:10:48,TER,45
403219910,9686170,475135,39.15054,21.46944,0,511,15,358,2021-01-29 07:10:03,TER,2
403232870,0,5317469,39.15025,21.4703,1,511,15,0,2021-01-29 06:34:19,TER,18
403267000,9369502,475235,39.15112,21.47071,0,511,15,224,2021-01-29 06:53:26,TER,26
403245480,9369497,6666,39.15074,21.47119,2,511,15,100,2021-01-29 06:52:17,TER,17
477752100,9591478,689198,39.15575,21.47133,0,38,5,260,2021-01-29 07:07:09,TER,9
374101000,9713806,3686380,39.1573,21.47311,1,39,5,207,2021-01-29 07:08:19,TER,15
403124000,9686182,3550566,39.16347,21.47504,0,352,0,268,2021-01-29 07:08:23,TER,22
357189000,9131723,413718,39.15123,21.47782,0,253,5,343,2021-01-29 07:03:44,TER,42
403048000,8302806,475103,39.15017,21.47905,0,511,5,0,2021-01-29 07:08:26,TER,25
247361800,9782730,3837272,39.15105,21.4799,2,165,3,288,2021-01-29 07:07:37,TER,60
563115400,9349045,685887,39.15403,21.48677,0,349,5,209,2021-01-29 07:10:21,TER,20
477233200,9793959,5781428,39.07619,21.48941,143,296,0,299,2021-01-29 07:11:13,TER,10
209849000,9311749,713726,39.02917,21.51733,9,48,0,82,2021-01-29 07:10:13,TER,11
636018296,9222986,757234,38.96583,21.53788,199,118,0,117,2021-01-29 07:10:25,TER,23
566906000,9605906,733368,38.82057,21.54851,13,248,0,193,2021-01-29 07:10:02,TER,58
538005269,9669940,714369,38.89098,21.55701,4,249,3,168,2021-01-29 07:10:43,TER,43
403005000,1002677,475056,39.09581,21.66509,0,167,5,304,2021-01-29 07:09:21,TER,19
209294000,9334571,121889,38.57819,21.71268,120,165,0,166,2021-01-29 06:59:03,TER,42
403257710,0,3857502,39.0948,21.71377,0,511,99,280,2021-01-29 07:09:10,TER,9
403248540,0,4934135,39.09508,21.71557,0,192,99,192,2021-01-29 07:06:40,TER,0
403283040,0,6513246,38.99685,21.71612,7,511,99,165,2021-01-29 07:09:10,TER,8
403258210,0,4937164,39.10275,21.71699,0,0,99,0,2021-01-29 07:10:59,TER,0
403266940,0,4685668,39.1031,21.71709,4,511,99,133,2021-01-29 07:06:35,TER,37
403211940,0,4371846,39.10468,21.71745,0,511,99,0,2021-01-29 07:10:03,TER,26
403219550,0,4756483,39.10501,21.7175,0,511,99,0,2021-01-29 07:10:05,TER,6
547789648,0,721586,39.10264,21.71752,0,511,99,133,2021-01-29 07:09:04,TER,3
403240810,0,4655213,39.10263,21.71761,0,511,99,0,2021-01-29 07:08:23,TER,22
403214750,0,5133258,39.10497,21.71777,3,511,99,0,2021-01-29 07:10:00,TER,59
403264810,0,4778225,39.10555,21.7178,1,117,99,117,2021-01-29 06:56:22,TER,0
403226410,0,6044437,39.10679,21.71789,2,511,96,91,2021-01-29 07:03:24,TER,60
403280670,0,6330082,39.10186,21.71803,0,511,99,348,2021-01-29 07:08:29,TER,28
244870066,0,4682055,39.10196,21.7181,0,511,99,160,2021-01-29 07:07:13,TER,12
403103000,8972065,475149,39.10169,21.71813,0,351,5,347,2021-01-29 07:08:55,TER,55
403133000,9752371,130914,39.10689,21.72152,0,66,5,248,2021-01-29 07:10:01,TER,0
403284310,0,5180637,39.1062,21.72199,0,187,96,187,2021-01-29 07:09:26,TER,0
403291050,0,4834830,39.10709,21.7222,1,511,99,0,2021-01-29 07:10:46,TER,48
403252150,0,4840805,39.10614,21.72223,2,109,99,109,2021-01-29 07:08:10,TER,0
403256640,0,4824575,39.11112,21.72233,53,224,99,224,2021-01-29 06:59:56,TER,0
970845272,0,4893439,39.10607,21.72247,0,329,14,329,2021-01-29 07:08:45,TER,44
9105610,0,5744073,39.10675,21.72321,1,185,99,185,2021-01-29 06:38:22,TER,0
403245160,0,5174503,39.10649,21.72357,0,511,99,0,2021-01-29 07:11:09,TER,7
403225150,0,4825858,39.10659,21.72364,1,202,99,202,2021-01-29 07:08:52,TER,0
403237860,0,4858315,39.10466,21.72531,0,511,99,323,2021-01-29 07:08:58,TER,57
403231110,0,5034391,39.12928,21.73657,0,511,99,312,2021-01-29 07:08:30,TER,28
403295810,0,4199896,39.12319,21.73738,0,511,99,0,2021-01-29 07:08:49,TER,7
403225350,0,4875986,39.12305,21.73742,0,186,99,186,2021-01-29 07:08:55,TER,0
403203340,0,4634770,39.11611,21.738,86,511,99,192,2021-01-29 07:10:57,TER,1
9106279,0,4778408,39.12232,21.73822,66,73,99,73,2021-01-29 07:10:27,TER,0
403260980,0,6513872,38.96626,21.73851,6,511,99,74,2021-01-29 07:08:36,TER,60
403229170,0,5210446,39.12238,21.73876,72,511,99,83,2021-01-29 06:44:32,TER,41
403288010,0,6479874,38.98466,21.75408,6,511,99,0,2021-01-29 07:10:15,TER,63
403202140,0,4251510,39.13039,21.75598,0,511,99,0,2021-01-29 07:11:18,TER,18
403223350,0,5741589,39.13443,21.76002,181,511,99,212,2021-01-29 07:10:33,TER,8
403283970,0,5750100,39.05278,21.77391,2,511,99,0,2021-01-29 06:57:14,TER,63
403526001,9620968,475436,38.62966,21.80757,123,145,0,144,2021-01-29 07:10:17,TER,15
403264250,0,4939090,39.01795,21.82305,38,511,99,101,2021-01-29 06:42:36,TER,35
403248810,0,5038550,39.02451,21.84093,1,167,96,167,2021-01-29 06:36:02,TER,0
403212040,0,5584866,39.06058,21.86131,0,511,99,0,2021-01-29 07:10:59,TER,0
403262510,0,5427906,38.95015,21.8639,193,511,99,333,2021-01-29 06:18:43,TER,42
403243370,9255543,460196,38.95037,21.92497,0,511,5,0,2021-01-29 07:10:28,TER,26
